ds,yhat,yhat_lower,yhat_upper,trend,yearly,weekly,monthly,back_to_school
2021-01-01,0.0,0.0,9.065893662082509,-0.141318,-0.6740739262242859,0.1477933764819061,0.28023856522148205,0.0
2021-01-02,0.0,0.0,8.554137728702644,-0.13793746572580645,-0.7961533973029511,0.0858502251756829,0.0045000310821555894,0.0
2021-01-03,0.0,0.0,8.005998322394408,-0.1345569314516129,-0.9066922721116717,-0.3953352334710664,-0.29923784199100567,0.0
2021-01-04,0.0,0.0,8.149218128428762,-0.13117639717741936,-0.9995970737927006,0.6162263860350939,-0.5765358469799353,0.0
2021-01-05,0.0,0.0,7.6596210471848165,-0.1277958629032258,-1.069147099048965,-0.21626666470038772,-0.7748483187655886,0.0
2021-01-06,0.0,0.0,7.017002229663589,-0.12441532862903226,-1.1101827617873534,-0.22035628951831204,-0.858051981194107,0.0
2021-01-07,0.0,0.0,7.297090437711393,-0.1210347943548387,-1.1182780939125985,-0.017911800001526725,-0.8166320238862588,0.0
2021-01-08,0.0,0.0,7.504708598909309,-0.11765426008064515,-1.089892272516983,0.14779337648130847,-0.6701597325105361,0.0
2021-01-09,0.0,0.0,7.614344583684375,-0.11427372580645162,-1.0224956569061467,0.08585022517575906,-0.4612131022484882,0.0
2021-01-10,0.0,0.0,7.65378872444394,-0.11089319153225806,-0.9146665630392434,-0.3953352334726104,-0.24271601105871932,0.0
2021-01-11,0.0,0.0,9.902527210313053,-0.10751265725806453,-0.7661558552019603,0.6162263860344729,-0.06281393902612718,0.0
2021-01-12,0.0,0.0,8.871772167685192,-0.10413212298387096,-0.5779173703308647,-0.21626666470178427,0.04788004309147723,0.0
2021-01-13,0.0,0.0,9.206859446115331,-0.10075158870967742,-0.35210318206268243,-0.2203562895187579,0.08277965580135363,0.0
2021-01-14,0.0,0.0,10.034648366615407,-0.09737105443548387,-0.09202373068631589,-0.017911799998403113,0.05791601801416098,0.0
2021-01-15,0.2554379703344669,0.0,10.067519928998683,-0.09399052016129032,0.19792613784393784,0.14779337648071078,0.0037089761711088867,0.0
2021-01-16,0.4608536896373512,0.0,9.932314889859477,-0.09060998588709678,0.5123731950338741,0.08585022517432292,-0.04675974468374914,0.0
2021-01-17,0.29385199126532024,0.0,9.266944101558694,-0.08722945161290323,0.8451009604585157,-0.3953352334724514,-0.06868428410784029,0.0
2021-01-18,1.6695857848909754,0.0,11.193252584774713,-0.08384891733870968,1.1892101455952266,0.616226386034844,-0.052001829400385405,0.0
2021-01-19,1.2389565920249792,0.0,10.793925952297993,-0.08046838306451612,1.5372998873007875,-0.2162666647019383,-0.0016082475093537156,0.0
2021-01-20,1.6522290336954168,0.0,12.264754431896549,-0.07708784879032257,1.8816646491201992,-0.2203562895192037,0.06800852288474403,0.0
2021-01-21,2.263859643320866,0.0,11.97930004116574,-0.07370731451612902,2.2145012182979387,-0.017911799999697747,0.14097753953875353,0.0
2021-01-22,2.8130192410564527,0.0,13.310824852713626,-0.07032678024193549,2.528119936684842,0.1477933764808156,0.20743270813273137,0.0
2021-01-23,3.1010165995244363,0.0,12.487456289492945,-0.06694624596774193,2.8151541826417117,0.0858502251728869,0.26695843767758,0.0
2021-01-24,2.936601220162103,0.0,13.160846806630516,-0.06356571169354838,3.068762171521139,-0.3953352334716325,0.32673999380614477,0.0
2021-01-25,4.234208345484929,0.0,13.326894713692438,-0.06018517741935484,3.2828153627191217,0.6162263860345685,0.3953517741505939,0.0
2021-01-26,1.7945766407235106,0.0,11.74660071121548,-0.056804643145161295,3.452068144618789,-0.2162666647020923,0.4750198039519757,0.0
2021-01-27,12.57518445129808,2.7246302992748967,22.360670107172243,-0.05342410887096774,3.5723040038318548,-0.22035628951959557,0.5559608458567884,0.0
2021-01-28,12.558359791141832,3.6140051128134023,22.766544830359358,-0.05004357459677419,3.640454056069753,-0.017911799998783264,0.6157111096676371,0.0
2021-01-29,13.191348016265911,3.626365526090156,23.47507108377368,-0.046663040322580646,3.654684603198856,0.1477933764822831,0.6244530769073521,0.0
2021-01-30,1.8385413642183215,0.0,12.24154176015935,-0.04328250604838711,3.614451261684623,0.08585022517296308,0.5549423834091215,0.0
2021-01-31,1.0142293591673237,0.0,10.310446931158063,-0.03990197177419356,3.5205181561474856,-0.39533523347147353,0.3936484082655056,0.0
2021-02-01,1.5463411352079055,0.0,12.059304294199059,-0.036521437500000004,3.3749416608018787,0.6162263860349397,0.1489345258710868,0.0
2021-02-02,0.4409955756061479,0.0,11.129689448733874,-0.03314090322580644,3.1810191726543033,-0.2162666646998403,-0.14713602912250828,0.0
2021-02-03,0.0,0.0,9.179374166018471,-0.02976036895161291,2.943204384802369,-0.22035628952004135,-0.4447008969963525,0.0
2021-02-04,0.0,0.0,9.10461486664688,-0.026379834677419355,2.6669914678808673,-0.0179118000000779,-0.6883588991188063,0.0
2021-02-05,0.0,0.0,8.772675541736932,-0.0229993004032258,2.358771435890618,0.1477933764796202,-0.8321289048861557,0.0
2021-02-06,15.612449152915177,5.929220429453522,25.16736581842104,-0.019618766129032243,2.0256647447461957,0.08585022517754015,-0.8523470508795259,0.0
2021-02-07,0.0,0.0,8.01333598181988,-0.01623823185483871,1.675334826125861,-0.3953352334730175,-0.7542808826811181,0.0
2021-02-08,15.319903165875427,5.8050408747971,24.541797595625248,-0.012857697580645151,1.315787777421158,0.6162263860349876,-0.57025330000007,0.0
