ds,yhat,yhat_lower,yhat_upper,trend,yearly,weekly,monthly,back_to_school
2021-01-01,74.94561302729082,66.15853564917192,82.55308695646698,58.8299,7.849409720990407,-0.0964408483066855,-0.08352584539290121,0.0
2021-01-02,77.76526771246509,70.53186197321807,85.57126629232673,58.60197102993404,8.108890323640164,1.6558778298446746,-0.183111470953798,0.0
2021-01-03,69.5054601836268,61.85180543760038,76.84656280586466,58.37404205986809,8.376093696215838,2.9723914572054952,-0.2170670296626294,0.0
2021-01-04,65.45324529919868,57.441071240390706,72.7980155424304,58.14611308980213,8.64874508026426,-1.1530750442039581,-0.18853782666373547,0.0
2021-01-05,65.50418341935807,57.7979286376914,73.26759344122297,57.91818411973617,8.924096550515113,-1.219684545937149,-0.11841270495605413,0.0
2021-01-06,65.67160735431881,58.309738581340206,73.72698233188919,57.69025514967022,9.198973512053074,-1.1842662486143278,-0.033355058790158085,0.0
2021-01-07,66.00384386719212,57.87026438773239,74.05268358494087,57.46232617960426,9.469834157793953,-0.9748025999989606,0.046486129792862124,0.0
2021-01-08,66.98583248987755,59.53854161864807,74.47713161232609,57.234397209538315,9.732840430703746,-0.09644084830429242,0.11503569793978566,0.0
2021-01-09,68.8265081787569,60.81506458997173,76.94782026823687,57.006468239472355,9.983938713999903,1.6558778298455805,0.1802233954390557,0.0
2021-01-10,70.2265106684207,62.60317854203645,78.34236435690782,56.778539269406394,10.218948200489038,2.9723914572121815,0.2566317413130918,0.0
2021-01-11,66.18546121885305,58.83695029152872,74.03588560157166,56.55061029934044,10.433654676621131,-1.1530750441945867,0.3542712870860642,0.0
2021-01-12,66.19548828984733,57.840603910065866,73.87638199709963,56.32268132927448,10.62390730347196,-1.2196845459346808,0.4685842030355679,0.0
2021-01-13,66.27262475340966,59.10331994506256,74.25033434296122,56.09475235920852,10.785715889715444,-1.1842662486129514,0.5764227530986448,0.0
2021-01-14,66.44783056088873,58.73136839412052,74.39115824814945,55.866823389142574,10.915346132657263,-0.9748026000049528,0.6404636390938467,0.0
2021-01-15,67.17302346191943,59.418798740382705,74.89430428385943,55.638894419076614,11.009410352909995,-0.0964408483018992,0.6211595382347257,0.0
2021-01-16,68.6239720025469,60.67991392424346,76.2961728689445,55.410965449010654,11.06495136443726,1.6558778298494732,0.4921773592495264,0.0
