ds,yhat,yhat_lower,yhat_upper,trend,yearly,weekly,monthly
2021-11-01,0.028958404965731526,0.0,0.6738400373811455,0.024135695766924738,0.024646069747065964,-0.014288978720207847,-0.005945753532720118
2021-11-02,0.07679698802182693,0.0,0.7322706720066856,0.02417655134970286,0.012435523026079523,0.04523486291251392,-0.007856054540432091
2021-11-03,0.0,0.0,0.5230490301204602,0.02421740693248098,0.00044621160887518683,-0.04038685323462595,-0.012561231239062047
2021-11-04,0.0,0.0,0.5590707273203575,0.024258262515259105,-0.011083696701446523,-0.012820481737577698,-0.018295751828866117
2021-11-05,0.0,0.0,0.5616997137835122,0.024299118098037226,-0.021934441290241354,0.007187541999639377,-0.022980098574450603
2021-11-06,0.0,0.0,0.5483607011764493,0.02433997368081535,-0.03190970703854483,-0.007792732094276068,-0.024957511249993607
2021-11-07,0.01474932624177292,0.0,0.6336141776270645,0.024380829263593473,-0.04084094315778823,0.02286664087421307,-0.02352668126827414
2021-11-08,0.0,0.0,0.5420394088348661,0.024421684846371593,-0.04859086062540463,-0.014288978720167527,-0.019089607756016803
2021-11-09,0.04225790479337724,0.0,0.5841599307820353,0.024462540429149717,-0.05505603040249291,0.04523486291248179,-0.012883098341766699
2021-11-10,0.0,0.0,0.5368275503628721,0.02450339601192784,-0.06016853047872525,-0.040386853234637865,-0.0064192582681135086
2021-11-11,0.0,0.0,0.5867069988006635,0.02454425159470596,-0.06389661667312813,-0.012820481737404296,-0.0008661960481824697
2021-11-12,0.00697122188485168,0.0,0.6146195699659049,0.02458510717748408,-0.06624441924968938,0.007187541999705772,0.0033838434068111044
2021-11-13,0.0,0.0,0.5288298533935298,0.0246259627602622,-0.06725069403182438,-0.007792732094139477,0.0067905508715542726
2021-11-14,0.0,0.0,0.5532261093738924,0.024666818343040325,-0.06698668207730282,0.022866640874349902,0.010360397901112116
2021-11-15,0.0,0.0,0.5856015523898173,0.02470767392581845,-0.06555315542144205,-0.014288978720243187,0.01508708674370884
2021-11-16,0.028677975246304315,0.0,0.5941230679901217,0.02474852950859657,-0.06307674728174557,0.045234862912449665,0.021367813507646275
2021-11-17,0.0,0.0,0.6092664038993025,0.024789385091374693,-0.05970568290160145,-0.04038685323447741,0.028640225225707708
2021-11-18,0.0,0.0,0.5637880210103432,0.024830240674152817,-0.055605041443691244,-0.012820481737639694,0.03540449581718899
2021-11-19,0.02097272591413559,0.0,0.6217114242028996,0.024871096256930937,-0.05095168968545426,0.007187541999553258,0.03964887714415406
2021-11-20,0.01078793720759596,0.0,0.6669320708554796,0.02491195183970906,-0.0459290344933702,-0.007792732094192948,0.03953997730232967
2021-11-21,0.042089619372307034,0.0,0.624229146842723,0.02495280742248718,-0.04072174305443014,0.022866640874257764,0.034130241465614636
2021-11-22,0.0,0.0,0.5474118063864171,0.024993663005265305,-0.035510577636746816,-0.014288978720202867,0.02381664223812524
2021-11-23,0.0,0.0,0.5835772450104182,0.02503451858804343,-0.030467485372703322,0.045234862912417545,0.010365207802602245
2021-11-24,0.0,0.0,0.5595607891749503,0.02507537417082155,-0.025751073453801187,-0.04038685323461576,-0.003532263062449342
2021-11-25,0.0,0.0,0.6081161991959385,0.025116229753599673,-0.021502586551773187,-0.012820481737466291,-0.015034840651644132
2021-11-26,0.0,0.0,0.5333121028055505,0.025157085336377796,-0.017842486677531955,0.007187541999528428,-0.022004928009150097
2021-11-27,0.0,0.0,0.5384462356424566,0.025197940919155917,-0.014867716588755396,-0.007792732094246415,-0.023646524759869565
2021-11-28,0.0,0.0,0.5705346277337366,0.02523879650193404,-0.012649706839311863,0.022866640874412755,-0.020710158989045272
2021-11-29,0.0,0.0,0.6109782873034271,0.025279652084712164,-0.011233164266866958,-0.014288978720227748,-0.015194830903093735
2021-11-30,0.05155267934243037,0.0,0.6962967939119737,0.025320507667490284,-0.010635656794858867,0.04523486291245024,-0.00965189964740561
2021-12-01,0.0,0.0,0.5589487702211566,0.025361363250268405,-0.01084798654585554,-0.04038685323432885,-0.006332876047480141
2021-12-02,0.0,0.0,0.6587026430790373,0.02540221873195352,-0.01183532107941064,-0.012820481737292886,-0.006473557880285723
2021-12-03,0.009180094191965645,0.0,0.649771061055952,0.025443074213638627,-0.013539031698437443,0.007187541999375917,-0.009953371268407826
2021-12-04,0.0,0.0,0.562353007884963,0.02548392969532374,-0.015879168786209583,-0.007792732094299884,-0.01543145807389167
2021-12-05,0.00878180418845911,0.0,0.625631811752333,0.02552478517700885,-0.018757487550557818,0.022866640874320616,-0.02089047008006028
2021-12-06,0.0,0.0,0.5363514207290707,0.025565640658693965,-0.02206092379112462,-0.01428897872018743,-0.024377264186128723
2021-12-07,0.03928414669499466,0.0,0.6912473785272377,0.025606496140379076,-0.025665408710879332,0.04523486291251378,-0.02466759403968273
2021-12-08,0.0,0.0,0.597013605451056,0.025647351622064187,-0.02943990460778536,-0.04038685323446721,-0.021620560801836986
2021-12-09,0.0,0.0,0.5588688289698653,0.0256882071037493,-0.03325053964640809,-0.012820481737528287,-0.016111872286544406
2021-12-10,0.009408610177362347,0.0,0.5827545783404968,0.025729062585434406,-0.03696471985531335,0.007187541999661224,-0.00959575857862341
2021-12-11,0.011154586861580254,0.0,0.6417196641024407,0.02576991806711952,-0.04045509995727059,-0.007792732094297156,-0.0034833169688203926
2021-12-12,1.188092083907942,0.3642448444884706,2.5665548210538125,0.025810773548804632,-0.04360330144172686,0.02286664087433388,0.0014110632896536558
2021-12-13,0.0,0.0,0.58733696981438,0.025851629030489744,-0.046303276168809256,-0.01428897872014711,0.0051367163745842685
2021-12-14,0.03163862763331437,0.0,0.6742244039005851,0.025892484512174855,-0.04846422640233123,0.04523486291254647,0.008485317692211152
2021-12-15,0.0,0.0,0.5325291334273925,0.02593333999385997,-0.05001300708248198,-0.04038685323445616,0.012534466261268863
2021-12-16,0.0,0.0,0.573626129227756,0.02597419547554508,-0.05089595288458234,-0.012820481737354882,0.01804400955661734
2021-12-17,0.0071026333145050675,0.0,0.6212564087505656,0.02601505095723019,-0.05108009064445206,0.007187541999508707,0.0249550261060382
2021-12-18,0.0,0.0,0.5485704524850941,0.0260559064389153,-0.05055371650741821,-0.007792732094350628,0.03220694050030636
2021-12-19,0.038322467079247115,0.0,0.6628421385629351,0.026096761920600415,-0.04932633611481237,0.022866640874241735,0.037969331744299666
2021-12-20,0.0,0.0,0.578484134735131,0.026137617402285526,-0.047427984716838074,-0.014288978720171997,0.040225748921575315
2021-12-21,0.04478966751825278,0.0,0.7106921870858278,0.026178472883970638,-0.04490796176054641,0.045234862912449526,0.03750709103081974
2021-12-22,0.0,0.0,0.6002083626862382,0.02621932836565575,-0.04183303074541213,-0.040386853234445116,0.02950506603433966
2021-12-23,0.0,0.0,0.5390512726285603,0.026260183847340864,-0.038285149521302485,-0.012820481737471422,0.017328603218083834
