ds,yhat,yhat_lower,yhat_upper,trend,yearly,weekly,monthly,back_to_school
2021-01-01,0.03665212136648018,0.0,0.7395300983326707,0.1909538419686689,-0.212476360253461,0.036383802865352255,-0.08033568674773492,0.0
2021-01-02,0.035934236963445464,0.0,0.7427546483186993,0.1909139958462429,-0.20974804180710324,0.003409082568358243,-0.05286282925259231,0.0
2021-01-03,0.041831632705258956,0.0,0.7924742849166908,0.19087414972381686,-0.20634020622366808,0.07064323741533952,-0.014196831536977038,0.0
2021-01-04,0.0,0.0,0.6837706706732523,0.19083430360139086,-0.2023864181830142,-0.021636544305335934,0.024383328765587603,0.0
2021-01-05,0.007911850436604853,0.0,0.7212849240114378,0.1907944574789648,-0.19803362800835325,-0.03654604694465266,0.05166593333556122,0.0
2021-01-06,0.04299133873827313,0.0,0.6946060704315458,0.1907546113565388,-0.1934375934043632,-0.015486620187362432,0.06026247403743736,0.0
2021-01-07,0.014331566842661073,0.0,0.6935672995037812,0.19071476523411277,-0.18875805096538711,-0.03676691141190244,0.04904003785962463,0.0
2021-01-08,0.06852498453985889,0.0,0.8267215936961667,0.19067491911168674,-0.1841537777649233,0.03638380286538827,0.023374234108440927,0.0
2021-01-09,0.007443481655897401,0.0,0.6966214512290743,0.19063507298926075,-0.17977768652869316,0.003409082568388978,-0.006850553375797979,0.0
2021-01-10,0.056230281670945285,0.0,0.7383044794202869,0.1905952268668347,-0.17577209702536187,0.07064323741539318,-0.0307601359823984,0.0
2021-01-11,0.0,0.0,0.596349488853964,0.19055538074440867,-0.17226432141480677,-0.02163654430510666,-0.04025851719751299,0.0
2021-01-12,0.0,0.0,0.5730428063161053,0.19051553462198265,-0.16936269250215677,-0.036546046944467954,-0.03270222425365372,0.0
2021-01-13,0.0,0.0,0.7115673530401183,0.19047568849955662,-0.16715315140875953,-0.015486620187294499,-0.011553563076266373,0.0
2021-01-14,0.0031443289649938605,0.0,0.712525689871248,0.1904358423771306,-0.1656964954321019,-0.03676691141210188,0.015166960367826448,0.0
2021-01-15,0.10490434702640145,0.0,0.7863530389363642,0.19039599625470457,-0.1650263682643738,0.03638380286542428,0.03800533659008885,0.0
2021-01-16,0.08134479100932125,0.0,0.8070577827975491,0.19035615013227852,-0.1651480537970885,0.0034090825683833537,0.049588264503264805,0.0
2021-01-17,0.15273996087588887,0.0,0.9823538805524457,0.19031630400985253,-0.16603811203443514,0.07064323741534259,0.04722025382836077,0.0
2021-01-18,0.03522381262824575,0.0,0.745533564516121,0.1902764578874265,-0.16764487180833412,-0.021636544305312165,0.03362260565143166,0.0
2021-01-19,0.0,0.0,0.6910194876075333,0.19023661176500048,-0.16988977069727462,-0.0365460469445302,0.015583772436837869,0.0
2021-01-20,0.0031247296757971918,0.0,0.6567544290974516,0.19019676564257446,-0.1726695084729195,-0.015486620187226581,0.0010792208717076072,0.0
2021-01-21,0.0,0.0,0.6246826313706837,0.1901569195201484,-0.17585895720899922,-0.036766911411963574,-0.004008838634637419,0.0
2021-01-22,0.05010243151664056,0.0,0.7863772394406989,0.1901170733977224,-0.17931474952779403,0.036383802865354135,0.001701586501456547,0.0
2021-01-23,0.025418344853951634,0.0,0.7177950539199658,0.19007722727529636,-0.18287944693893793,0.0034090825683777176,0.014493807739550571,0.0
2021-01-24,0.10660874810422308,0.0,0.8570256631005893,0.19003738115287036,-0.18638617338705954,0.07064323741543108,0.027005711659065894,0.0
2021-01-25,0.009938520260025768,0.0,0.717111543794732,0.18999753503044434,-0.18966358543752707,-0.02163654430508922,0.031192052682946256,0.0
2021-01-26,0.0,0.0,0.6241155958507281,0.1899576889080183,-0.19254104038055075,-0.036546046944592445,0.021668463693900714,0.0
2021-01-27,0.003773701328002711,0.0,0.7569209497300409,0.1899178427855923,-0.19485381720683295,-0.015486620187243443,-0.0018528240589926045,0.0
2021-01-28,0.015026505562098615,0.0,0.7128231743005804,0.18987799666316624,-0.1964482430857296,-0.03676691141199414,-0.034002529241818215,0.0
2021-01-29,0.04861376385963795,0.0,0.8139190977453747,0.18983815028523143,-0.19718657972386539,0.036383802865316624,-0.06534468146215895,0.0
2021-01-30,0.00565005568127781,0.0,0.6541949406773182,0.18979830390729663,-0.19695152976598387,0.0034090825684084526,-0.08558888364743297,0.0
2021-01-31,0.012106634590114362,0.0,0.7459570265755631,0.18975845752936177,-0.1956502330568165,0.07064323741538049,-0.08727711799644484,0.0
2021-02-01,0.0,0.0,0.5945474780155795,0.18971861115142696,-0.19321763586194804,-0.02163654430529473,-0.06859712464249682,0.0
2021-02-02,0.0,0.0,0.4779916795465313,0.18967876477349216,-0.18961913268112157,-0.03654604694462148,-0.034269950075830606,0.0
2021-02-03,0.0,0.0,0.5911435306594133,0.18963891839555735,-0.18485239963656963,-0.015486620187175514,0.005853790259961166,0.0
2021-02-04,0.0,0.0,0.6332018239957298,0.1895990720176225,-0.17894836005326278,-0.03676691141185584,0.04002600132215888,0.0
2021-02-05,0.06681085656643854,0.0,0.7347567194351532,0.1895592256396877,-0.17197124617770126,0.03638380286542617,0.05853209371790737,0.0
2021-02-06,0.057683289636698096,0.0,0.7905730785543676,0.18951937926175288,-0.1640177453807775,0.0034090825683882496,0.056931751680618974,0.0
2021-02-07,0.08949607648935357,0.0,0.8259979924685759,0.18947953288381805,-0.1552152439834758,0.07064323741543414,0.03746389036614364,0.0
2021-02-08,0.0028041466916902654,0.0,0.6804507728264484,0.18943968650588322,-0.14571920637399538,-0.02163654430528601,0.008128856367720238,0.0
2021-02-09,0.0,0.0,0.5914248747965432,0.18939984012794842,-0.1357097506674562,-0.03654604694443677,-0.02020548092618924,0.0
2021-02-10,0.0,0.0,0.6037399736781912,0.18935999375001358,-0.12538750417495054,-0.015486620187338356,-0.037622603551181,0.0
2021-02-11,0.0,0.0,0.6953516756967282,0.18932014737207875,-0.11496884178349218,-0.036766911411886406,-0.03853079885537562,0.0
2021-02-12,0.057457056655288455,0.0,0.7397759152645025,0.18928030099414395,-0.10468062747795621,0.03638380286538865,-0.023401071547965103,0.0
2021-02-13,0.05659577000244899,0.0,0.7257859140768741,0.18924045461620911,-0.09475459319414399,0.0034090825683826135,0.0017101088245947461,0.0
2021-02-14,0.11574293642391756,0.0,0.8356670945053402,0.1892006082382743,-0.08542149959855293,0.07064323741538356,0.02761885320193294,0.0
2021-02-15,3.9442589435084923,1.9494801024127986,7.233499287650359,0.18916076186033948,-0.07690522997501005,-0.021636544305491515,0.04550100580968329,0.0
2021-02-16,0.05637674866890813,0.0,0.806143302692597,0.18912091548240467,-0.06941697097276514,-0.036546046944745975,0.05009881427011119,0.0
2021-02-17,0.08393222637737086,0.0,0.8244437086940635,0.18908106910446984,-0.0631496324806665,-0.01548662018703966,0.0414675586687251,0.0
2021-02-18,0.09702826297499695,0.0,0.8233478204302338,0.189041222726535,-0.05827265336703896,-0.03676691141196034,0.0246479811099429,0.0
2021-02-19,0.12887634090456168,0.0,0.9004729349125526,0.1890013763486002,-0.054927330423172376,0.03638380286542466,0.007437657543748077,0.0
2021-02-20,0.14602198147351045,0.0,0.8849382187412218,0.18896152997066537,-0.05322279482066142,0.003409082568376989,-0.0028510185683293084,0.0
2021-02-21,0.22623570008555716,0.0,1.0578647661358263,0.18892168359273057,-0.05323274408827478,0.07064323741547204,-0.002383106590543179,0.0
2021-02-22,0.12734927331021992,0.0,0.9238937100338618,0.18888183721479573,-0.05499301847069531,-0.0216365443054828,0.007616826811585246,0.0
2021-02-23,0.12199464792633856,0.0,0.8403743491394284,0.1888419908368609,-0.05850008905952831,-0.03654604694452804,0.021312182137195126,0.0
2021-02-24,0.15048019642385746,0.0,1.0080470650141162,0.1888021444589261,-0.0637105018580075,-0.015486620187202498,0.030574394914348716,0.0
2021-02-25,0.11600215437160454,0.0,0.8274774301533663,0.18876229808099126,-0.07054129757002042,-0.036766911411990906,0.028298705298781812,0.0
2021-02-26,0.1707924122529094,0.0,0.9801648593179129,0.18872245164691806,-0.07887140203662701,0.036383802865387144,0.011445942516322987,0.0
2021-02-27,0.08999392564045895,0.0,0.8453308305607841,0.18868260521284486,-0.08854395753073534,0.003409082568407716,-0.01737560683191145,0.0
2021-02-28,0.11569167464260156,0.0,0.934773543030341,0.18864275877877165,-0.09936954121043252,0.07064323741528239,-0.05044190639804919,0.0
2021-03-01,0.0,0.0,0.6867692218668888,0.18860291234469848,-0.1111301945505073,-0.02163654430525352,-0.07742691097119708,0.0
2021-03-02,0.0,0.0,0.5888221985270188,0.18856306591062527,-0.1235841670912481,-0.036546046944837235,-0.0890196640310076,0.0
