ds,yhat,yhat_lower,yhat_upper,trend,yearly,weekly,monthly
2021-01-01,79.79312899778562,69.91441470677829,88.8424751798042,73.1623,2.6634083027833584,0.2571055020823383,-1.0745448070800803
2021-01-02,81.05201510840264,71.72566263081443,90.45511945528877,72.97207879249112,2.684377632360106,1.9539941879361624,-1.1612455043847405
2021-01-03,76.01246448405278,67.01166396329593,84.80979424350805,72.78185758498225,2.6893887411381634,1.5667064050500377,-1.025488247117668
2021-01-04,73.55866905563401,63.64707466462835,82.96037468785262,72.59163637747336,2.6787274012355766,-1.0274319004077879,-0.6842628226671447
2021-01-05,73.36885432448771,63.99943949517559,82.5321728797975,72.4014151699645,2.652916720671056,-1.4680273636833874,-0.21745020246445304
2021-01-06,74.05002152713104,64.8022528068547,83.75198998460701,72.21119396245561,2.612694570924507,-1.0343956309858353,0.260528624736753
2021-01-07,74.97225256024488,65.71075034512498,84.4711579771374,72.02097275494673,2.558985681104838,-0.247951200000634,0.6402453241939554
2021-01-08,75.43425359429851,66.2249350221749,85.07318689103685,71.83075154743786,2.4928691184690503,0.25710550208373917,0.8535274263078716
2021-01-09,76.90351082427506,67.3140295485326,85.63617014845829,71.64053033992897,2.415542016255854,1.9539941879365572,0.8934442801536784
2021-01-10,76.15650375411519,66.95875052645485,85.63968233231847,71.4503091324201,2.3282805298779934,1.5667064050567039,0.8112076867603851
2021-01-11,73.15686687273674,63.97858045095232,82.37024594339918,71.26008792491122,2.232399097559569,-1.0274319004011983,0.6918117506671506
2021-01-12,72.34914056348225,63.31202712353976,81.37936438199102,71.06986671740233,2.1292091480836866,-1.4680273636834489,0.6180920616796787
2021-01-13,72.50228533628962,63.85612544483958,81.69554359593843,70.87964550989345,2.019978433880806,-1.034395630985217,0.637057023500584
2021-01-14,73.08867247514561,63.48088821313965,82.63147735090647,70.68942430238458,1.9058921704701213,-0.2479512000015087,0.7413072022924153
2021-01-15,73.4168520576531,63.423946417991125,82.72483866837707,70.4992030948757,1.7880171324065621,0.25710550208513994,0.8725263282857012
2021-01-16,74.8758430563734,65.54033739813453,84.91399798632615,70.30898188736681,1.6672697915338694,1.9539941879385212,0.9455971895341913
2021-01-17,74.11388427685864,65.31536900963553,83.0533701809244,70.11876067985794,1.5443894865582457,1.5667064050556365,0.8840277053868232
2021-01-18,70.97403993238385,62.402785209956356,80.61728802068694,69.92853947234906,1.4199174858372279,-1.0274319004018688,0.6530148745994246
2021-01-19,69.84173916592188,60.436660036494516,79.43183367131212,69.73831826484019,1.2941826507881586,-1.4680273636830146,0.2772656139765499
2021-01-20,69.51734808769211,59.72936763068896,78.61465507497124,69.5480970573313,1.167294229308489,-1.0343956309845985,-0.16364756796308724
2021-01-21,69.58787626676447,60.241299618764536,79.02076845376655,69.35787584982242,1.0391421116950492,-0.24795120000066204,-0.5611904947523431
2021-01-22,69.51839681387783,60.28441330024329,78.61146738841659,69.16765464231355,0.9094046710082204,0.2571055020805163,-0.815768001524462
