ds,yhat,yhat_lower,yhat_upper,trend,yearly,weekly,monthly,back_to_school
2024-09-30,0.0,0.0,0.49357505650549516,0.005540267575647259,-0.24762733036373155,-0.047091318727031616,0.14087029270408052,0.13954813383070752
2024-10-01,0.0,0.0,0.3928206777212044,0.005424849666955494,-0.19391476305655012,-0.04197433970357546,0.14008929915272914,0.0
2024-10-02,0.06874307286139333,0.0,0.6279040479468196,0.00530943175826373,-0.14315458286524882,0.09439524391908713,0.10993316690252643,0.0
2024-10-03,0.0,0.0,0.4132366038532635,0.005194013849571966,-0.09606804605291994,-0.03486700474864143,0.06242259439460863,0.0
2024-10-04,0.0,0.0,0.4284975306756375,0.0050785959408802,-0.053269070943006376,-0.030970534088840082,0.014776607521069478,0.0
2024-10-05,0.0,0.0,0.41585738598747474,0.004963178032188436,-0.015252990969305819,-0.034155016125454865,-0.016740674020965202,0.0
2024-10-06,0.09916459722211123,0.0,0.6416336894846109,0.004847760123496672,0.01761149566913597,0.09466296947497067,-0.02257179106770279,0.0
2024-10-07,0.0,0.0,0.4661271611063369,0.004732342214804907,0.04508702513812259,-0.047091318726681146,-0.003134324331910007,0.0
2024-10-08,0.0,0.0,0.5276134378867317,0.004616924306113143,0.06706885267772819,-0.04197433970358426,0.031562045836536934,0.0
2024-10-09,0.0060163109533999766,0.0,0.5153777126371235,0.004501505811964149,0.0835827518120356,0.09439524391900928,0.06577845891681154,0.0
2024-10-10,0.002208352267473226,0.0,0.5042620239180593,0.004386087317815155,0.09477964727703114,-0.0348670047487729,0.08394713820632929,0.0
2024-10-11,0.002539648430704733,0.0,0.5015323411006045,0.0042706688236661605,0.10092718686842317,-0.030970534088846487,0.07643047733401084,0.0
2024-10-12,0.12235347876281351,0.0,0.6822388141097295,0.004155250329517167,0.10239853675391886,-0.03415501612570097,0.04302902998761703,0.0
2024-10-13,0.21086486883156705,0.0,0.8450151605226917,0.004039831835368174,0.09965875534471207,0.09466296947487518,-0.007026684741635457,0.0
2024-10-14,0.0,0.0,0.5112501991569325,0.0039244133412191795,0.09324916072637911,-0.04709131872701082,-0.05855924983702786,0.0
2024-10-15,0.0,0.0,0.46639837036121745,0.0038089948470701853,0.08377015433530478,-0.04197433970397661,-0.09607730825214289,0.0
2024-10-16,0.06237302366207033,0.0,0.6205034573237729,0.0036939495702108666,0.07186299784506565,0.09439524391910468,-0.10944708380107467,0.0
2024-10-17,0.0,0.0,0.5051886223308739,0.0035789042933515483,0.058191060282859766,-0.03486700474874285,-0.09749149096969563,0.0
2024-10-18,0.0,0.0,0.5138221172433723,0.00346385901649223,0.043421057817641676,-0.03097053408883255,-0.06819026457079506,0.0
2024-10-19,0.0009588758895187548,0.0,0.5197894102088096,0.0033488137396329113,0.028204799470440762,-0.03415501612543157,-0.03542973407573171,0.0
2024-10-20,0.0019334058759023843,0.0,0.4871318679537776,0.0032337684627735935,0.0131619286118055,0.09466296947496942,-0.013541981736758829,0.0
2024-10-21,0.0,0.0,0.4772158339012311,0.0031187231859142748,-0.0011358866437904723,-0.04709131872700041,-0.011699886606501257,0.0
2024-10-22,0.0,0.0,0.42665599739563415,0.003003677909054956,-0.014178909969345581,-0.04197433970398541,-0.03028941480936422,0.0
2024-10-23,0.011172022366301488,0.0,0.523450630640526,0.0028886326321956378,-0.025531095684653907,0.0943952439189192,-0.06064270459360866,0.0
