keyword,config,history_rows,mae,rmse,forecast_file
túi xách nữ vascara,Cluster_HIGH_SEASONAL,1317,0.84,8.62,output\forecast_túi_xách_nữ_vascara.csv
túi xách nữ đẹp,Cluster_HIGH_SEASONAL,1105,0.82,8.25,output\forecast_túi_xách_nữ_đẹp.csv
túi xách pedro,Cluster_HIGH_SEASONAL,1741,0.98,8.88,output\forecast_túi_xách_pedro.csv
túi xách pedro nữ,Cluster_HIGH_SEASONAL,1285,0.54,5.79,output\forecast_túi_xách_pedro_nữ.csv
túi xách tay nữ,Cluster_HIGH_SEASONAL,830,0.66,7.66,output\forecast_túi_xách_tay_nữ.csv
vay hoa,Cluster_HIGH_SEASONAL,1985,2.48,9.81,output\forecast_vay_hoa.csv
váy nữ thời trang,Cluster_HIGH_SEASONAL,1618,0.75,8.2,output\forecast_váy_nữ_thời_trang.csv
váy nữ đẹp,Cluster_HIGH_SEASONAL,1985,2.57,12.03,output\forecast_váy_nữ_đẹp.csv
áo khoác bomber,Cluster_HIGH_SEASONAL,1985,7.17,17.86,output\forecast_áo_khoác_bomber.csv
áo khoác da,Cluster_HIGH_SEASONAL,1985,8.56,17.64,output\forecast_áo_khoác_da.csv
áo khoác dài,Cluster_HIGH_SEASONAL,1985,3.51,8.74,output\forecast_áo_khoác_dài.csv
áo khoác dạ,Cluster_HIGH_SEASONAL,1865,6.8,17.38,output\forecast_áo_khoác_dạ.csv
áo khoác gió,Cluster_HIGH_SEASONAL,1985,4.46,10.25,output\forecast_áo_khoác_gió.csv
áo khoác jean,Cluster_HIGH_SEASONAL,1985,3.55,12.91,output\forecast_áo_khoác_jean.csv
áo khoác len,Cluster_HIGH_SEASONAL,1985,7.79,18.95,output\forecast_áo_khoác_len.csv
áo khoác lông,Cluster_HIGH_SEASONAL,1985,5.18,12.51,output\forecast_áo_khoác_lông.csv
áo khoác nam,Cluster_MODERATE,1985,3.33,4.64,output\forecast_áo_khoác_nam.csv
áo khoác nữ,Cluster_MODERATE,1985,3.9,5.32,output\forecast_áo_khoác_nữ.csv
áo khoác uniqlo,Cluster_HIGH_SEASONAL,1985,2.79,10.9,output\forecast_áo_khoác_uniqlo.csv
áo khoác đẹp,Cluster_HIGH_SEASONAL,1985,5.58,11.81,output\forecast_áo_khoác_đẹp.csv
áo khoác đồng phục,Cluster_HIGH_SEASONAL,1985,1.41,7.53,output\forecast_áo_khoác_đồng_phục.csv
áo polo,Cluster_STABLE,1985,6.83,9.02,output\forecast_áo_polo.csv
áo polo nam,Cluster_HIGH_SEASONAL,1985,14.45,21.74,output\forecast_áo_polo_nam.csv
áo sơ mi nam an phước,Cluster_MODERATE,1350,1.8,8.45,output\forecast_áo_sơ_mi_nam_an_phước.csv
áo sơ mi nam cộc tay,Cluster_MODERATE,680,2.0,8.22,output\forecast_áo_sơ_mi_nam_cộc_tay.csv
áo sơ mi nam hàng hiệu,Cluster_MODERATE,1315,1.62,8.08,output\forecast_áo_sơ_mi_nam_hàng_hiệu.csv
áo sơ mi nam trắng,Cluster_MODERATE,1865,4.13,11.05,output\forecast_áo_sơ_mi_nam_trắng.csv
áo sơ mi nam việt tiến,Cluster_MODERATE,1438,2.21,9.63,output\forecast_áo_sơ_mi_nam_việt_tiến.csv
áo sơ mi nam đẹp,Cluster_MODERATE,1621,1.96,7.11,output\forecast_áo_sơ_mi_nam_đẹp.csv
áo sơ mi việt tiến,Cluster_MODERATE,1863,2.02,7.6,output\forecast_áo_sơ_mi_việt_tiến.csv
áo thun nam cao cấp,Cluster_HIGH_SEASONAL,1743,0.76,7.25,output\forecast_áo_thun_nam_cao_cấp.csv
áo thun nam có cổ,Cluster_HIGH_SEASONAL,1592,0.78,7.13,output\forecast_áo_thun_nam_có_cổ.csv
áo thun nam cổ tròn,Cluster_HIGH_SEASONAL,1985,0.67,7.21,output\forecast_áo_thun_nam_cổ_tròn.csv
áo thun nam hàng hiệu,Cluster_HIGH_SEASONAL,734,0.45,6.37,output\forecast_áo_thun_nam_hàng_hiệu.csv
áo thun nam pierre cardin,Cluster_HIGH_SEASONAL,1043,0.9,8.65,output\forecast_áo_thun_nam_pierre_cardin.csv
áo thun nam polo,Cluster_HIGH_SEASONAL,1592,0.93,8.42,output\forecast_áo_thun_nam_polo.csv
áo thun nam đẹp,Cluster_HIGH_SEASONAL,1169,1.32,10.59,output\forecast_áo_thun_nam_đẹp.csv
áo thun trắng,Cluster_HIGH_SEASONAL,1985,3.21,10.38,output\forecast_áo_thun_trắng.csv
áo đầm nữ,Cluster_HIGH_SEASONAL,1865,1.76,11.67,output\forecast_áo_đầm_nữ.csv
đầm nữ cao cấp,Cluster_HIGH_SEASONAL,832,0.5,5.78,output\forecast_đầm_nữ_cao_cấp.csv
đầm nữ trung niên,Cluster_HIGH_SEASONAL,1165,0.86,8.65,output\forecast_đầm_nữ_trung_niên.csv
đầm nữ xinh,Cluster_HIGH_SEASONAL,1186,0.64,7.13,output\forecast_đầm_nữ_xinh.csv
đầm nữ đẹp,Cluster_HIGH_SEASONAL,1135,1.24,9.87,output\forecast_đầm_nữ_đẹp.csv
