ds,yhat,yhat_lower,yhat_upper,trend,yearly,weekly,monthly,back_to_school
2021-01-01,1.610105503290919,0.3699777611159486,3.97167665074974,0.09249301481417074,-0.06519566415973138,-0.043029522261616555,0.0923471775007512,0.0
2021-01-02,0.04382898743146999,0.0,0.93569025475624,0.09250297710557398,-0.06264409035112588,-0.03862124388768786,0.10601814806560718,0.0
2021-01-03,0.18740245776984915,0.0,1.1335786326538315,0.09251293939697722,-0.05963348872062739,0.047325460742809876,0.09156320130836697,0.0
2021-01-04,0.06304359715099542,0.0,0.9937277041677897,0.09252290168838045,-0.056248641879809096,-0.029324580938324102,0.054186432960860044,0.0
2021-01-05,0.06357149476682912,0.0,0.910120197258341,0.09253286397978369,-0.052584273519548315,0.015490945522169366,0.006193043337043963,0.0
2021-01-06,0.04677486025754386,0.0,0.9415353621145728,0.0925428262711869,-0.0487428063382952,0.039106672681203054,-0.037192817031506314,0.0
2021-01-07,0.0,0.0,0.9142615506209364,0.09255278856259014,-0.04483187598615001,0.009052268141409957,-0.06294532803329139,0.0
2021-01-08,0.0,0.0,0.8199365042445348,0.09256275085399338,-0.04096165894484201,-0.043029522261597904,-0.06448632035932773,0.0
2021-01-09,0.0,0.0,0.8710716409802028,0.09257271314539661,-0.03724207853058743,-0.038621243887658877,-0.04359261886491227,0.0
2021-01-10,0.1016212157468491,0.0,1.0034594170067939,0.09258267543679985,-0.03377995789946245,0.04732546074281769,-0.009345251003843452,0.0
2021-01-11,0.05973272449567631,0.0,1.0648602004329146,0.09259263772820309,-0.030676191890933516,-0.029324580938195892,0.02542486472838555,0.0
2021-01-12,0.1375980964597159,0.0,1.1573011913805384,0.09260260001960631,-0.02802301065160121,0.015490945522293626,0.048848571880235565,0.0
2021-01-13,0.17347654178294344,0.0,1.1749265413293069,0.09261256231100955,-0.02590140716831886,0.03910667268125368,0.05415291832604997,0.0
2021-01-14,0.12640552332483435,0.0,1.0341329817458225,0.09262252460241278,-0.02437879809803066,0.00905226814114244,0.04173561528401097,0.0
2021-01-15,0.04559391206659614,0.0,0.9234107203099569,0.09263248689381602,-0.023506982644511867,-0.04302952226157926,0.018489078892629945,0.0
2021-01-16,0.025744854481591677,0.0,0.985021829505345,0.09264244918521924,-0.023320457795648102,-0.03862124388753387,-0.005281711521921968,0.0
2021-01-17,0.100792911821893,0.0,1.0653449908232746,0.09265241147662248,-0.02383514013637318,0.047325460742823136,-0.020111983022147624,0.0
2021-01-18,0.017291051528492023,0.0,0.9643025630563145,0.09266237376802572,-0.025047534883580136,-0.029324580938260063,-0.021146995462901795,0.0
2021-01-19,0.07384548719414935,0.0,0.9204268397627515,0.09267233605942894,-0.026934381982767205,0.015490945522302898,-0.009982780534208225,0.0
