ds,yhat,yhat_lower,yhat_upper,trend,yearly,weekly,monthly
2021-01-01,0.0,0.0,0.5940403822368772,0.04145070492200977,-0.08696396400608086,0.0016065663605272053,-0.026254112884477453
2021-01-02,0.0,0.0,0.6921626435036818,0.04145089639542229,-0.0821332551259861,0.012684353758071159,-0.038230032903027414
2021-01-03,0.0,0.0,0.5864617634991676,0.04145108786883481,-0.07704590343446971,-0.040348634725815034,-0.046137744864173345
2021-01-04,0.0,0.0,0.5780134062374391,0.04145127934224733,-0.07180059151930929,-0.015364768320555408,-0.04984453352264924
2021-01-05,0.0,0.0,0.6234619529981156,0.04145147081565984,-0.06649490005259456,0.004322055223092018,-0.04972471347573544
2021-01-06,0.0,0.0,0.5363931886305027,0.04145166228907236,-0.06122342864432868,-0.0588486662597825,-0.04622029940476491
2021-01-07,0.04265362195389414,0.0,0.8514365389570395,0.04145185376248488,-0.056076120471102296,0.09594909396428064,-0.039555804232754795
2021-01-08,0.0,0.0,0.6157946285710456,0.0414520452358974,-0.05113681761522272,0.0016065663605218774,-0.02973537010939754
2021-01-09,0.0,0.0,0.7468689561304753,0.04145223670930991,-0.04648206527347813,0.012684353757972097,-0.01681406851306667
2021-01-10,0.0,0.0,0.660308060257176,0.04145242818272243,-0.042180174214580264,-0.040348634725820696,-0.0013032237840135544
2021-01-11,0.0033068772136608296,0.0,0.8498363934120785,0.04145261965613495,-0.03829054237475213,-0.015364768320641181,0.015504112558698057
2021-01-12,0.04330886544196404,0.0,0.8446176363313673,0.04145281112954746,-0.034863228538223476,0.004322055222855982,0.03148562614170828
2021-01-13,0.0,0.0,0.7268273830634333,0.04145300260295998,-0.03193876389814089,-0.05884866625978322,0.044016522990005226
2021-01-14,0.17171789342362248,0.0,1.0923858766719419,0.041453194076372504,-0.029548181129649992,0.0959490939643292,0.050616849999659416
2021-01-15,0.0672350041833672,0.0,0.8131973891138811,0.04145338554978501,-0.027713235592130462,0.0016065663605165455,0.049724479345037965
2021-01-16,0.07145117298660002,0.0,0.8650691994460931,0.04145357702319753,-0.026446789524235764,0.012684353758144133,0.04132282479484701
2021-01-17,0.002529399964653124,0.0,0.7531761367202738,0.041453768496610054,-0.02575332767165467,-0.040348634725723906,0.02717440031737103
2021-01-18,0.011048803263163527,0.0,0.8261412150098302,0.04145395997002257,-0.02562957170739889,-0.015364768320371118,0.010528591199226556
2021-01-19,0.015170807132442435,0.0,0.7543831362958398,0.04145415144343509,-0.026065161037994715,0.004322055222903149,-0.004654164403464045
2021-01-20,0.0,0.0,0.6583203258041292,0.04145434291684761,-0.027043369059322645,-0.05884866625978396,-0.014750096878410121
2021-01-21,0.09569154319112735,0.0,0.950838547263201,0.04145453439026012,-0.028541826511478734,0.09594909396435837,-0.017476091622844418
2021-01-22,0.0,0.0,0.7657310056152953,0.04145472586367264,-0.030533227130203778,0.0016065663607224506,-0.012534987137938266
2021-01-23,0.01964884760430265,0.0,0.7771824167592021,0.04145491733708516,-0.032985995112526534,0.012684353758316178,-0.0016949750148071254
