ds,yhat,yhat_lower,yhat_upper,trend,yearly,weekly,monthly
2021-01-01,0.0,0.0,0.5763639595385377,0.02204753833787474,0.1077280704423455,0.05201081081777321,-0.03896042026986327
2021-01-02,0.0,0.0,0.44321805545864285,0.02203908559577329,0.08308376946166637,0.006415732638249019,-0.05733091301184343
2021-01-03,0.0,0.0,0.60207242348855,0.022030632853671843,0.05898936237899961,-0.038729182708023245,-0.06763829397412263
2021-01-04,0.0,0.0,0.5091434945781883,0.02202218011157039,0.035844313253130956,-0.03571246484244302,-0.06681039849997089
2021-01-05,0.0,0.0,0.5754190760966402,0.02201372736946894,0.01401679946830945,-0.0175459889221137,-0.055371882498087596
2021-01-06,0.05062532029135091,0.0,0.6996882125079495,0.02200527462736749,-0.006164221468497211,0.07056300636525686,-0.03701852948551184
2021-01-07,0.0,0.0,0.47356600779737906,0.02199682188526604,-0.024415878994430935,-0.03700191334856655,-0.017076708046351016
2021-01-08,0.033585822537197205,0.0,0.6336729080294603,0.02198836914316459,-0.04050702138152567,0.052010810817756284,-0.00045802121279709627
2021-01-09,0.0,0.0,0.5474919523607134,0.02197991640106314,-0.05426247714205396,0.006415732638280815,0.010108129085722188
2021-01-10,0.0,0.0,0.48369309590027537,0.02197146365896169,-0.0655658479799791,-0.03872918270788234,0.014903154300984999
2021-01-11,0.0,0.0,0.5114251895270652,0.02196301091686024,-0.07436077523493136,-0.03571246484252318,0.016816304069930794
2021-01-12,0.0,0.0,0.5358650197533519,0.02195455817475879,-0.08065066314333381,-0.017545988921925347,0.01989218328800862
2021-01-13,0.036060717909242875,0.0,0.6035808566586982,0.021946105432657338,-0.08449688393278507,0.07056300636525462,0.027413522275286213
2021-01-14,0.0,0.0,0.47337286828841507,0.02193765269055589,-0.08601553060308191,-0.03700191334849912,0.040283085983623707
2021-01-15,0.04594821378751611,0.0,0.6454497327385529,0.02192919994845444,-0.08537282209881598,0.05201081081773935,0.05635666694240591
2021-01-16,0.0167129593815772,0.0,0.5753977567684352,0.021920747206352988,-0.08277930136026619,0.006415732638050089,0.07101765624838567
2021-01-17,0.0,0.0,0.5644641416295935,0.02191229446425154,-0.07848299845868804,-0.03872918270799512,0.07880795700962914
2021-01-18,0.0,0.0,0.5685344157402847,0.02190384172215009,-0.07276175779932031,-0.035712464842697085,0.0755186206388545
2021-01-19,0.0,0.0,0.5719497782776688,0.021895388980048638,-0.0659149494755156,-0.017545988921922464,0.05995205246499782
2021-01-20,0.07129200155218163,0.0,0.73968120280271,0.021886936237947185,-0.05825479970057035,0.07056300636525235,0.034670255241977165
2021-01-21,0.0,0.0,0.4909613855651253,0.02187848347435179,-0.05009758343482057,-0.03700191334855529,0.005405404737398749
2021-01-22,0.011489725788732525,0.0,0.5959344303626923,0.021870030710756393,-0.04175492365376249,0.05201081081759,-0.020701697701661737
2021-01-23,0.0,0.0,0.5160158913198898,0.021861577947161,-0.033525436154404537,0.0064157326378193645,-0.03743326996227897
